Time,Pulse,Heart Rate,Response Pad,Correct Response,
39.3,5.776,0,0,0,
39.35,5.77738,0,0,0,
39.4,5.77874,0,0,0,
39.45,5.77969,0,0,0,
39.5,5.78118,0,0,0,
39.55,5.78241,0,0,0,
39.6,5.78368,0,0,0,
39.65,5.785,0,0,0,
39.7,5.78638,0,0,0,
39.75,5.7879,0,0,0,
39.8,5.78933,0,0,0,Diff-Green-Black.png
39.85,5.79034,0,8,0,
39.9,5.79123,0,8,0,
39.95,5.79217,0,8,0,
40,5.7934,0,0,0,
40.05,5.79431,0,0,0,
40.1,5.79527,0,0,0,
40.15,5.79614,0,0,0,
40.2,5.79695,0,0,0,
40.25,5.79793,0,0,0,
40.3,5.79858,0,0,0,
40.35,5.7994,0,0,0,
40.4,5.80011,0,0,0,
40.45,5.80103,0,0,0,
40.5,5.80194,0,8,0,
40.55,5.8029,0,8,0,
40.6,5.80408,0,8,0,
40.65,5.80526,0,0,0,
40.7,5.80621,0,0,0,
40.75,5.80727,0,0,0,
40.8,5.80834,0,0,0,
40.85,5.80927,0,0,0,
40.9,5.81017,0,0,0,
40.95,5.81114,0,0,0,
41,5.81231,0,0,0,
41.05,5.81354,0,0,0,
41.1,5.81476,0,0,0,
41.15,5.81588,0,0,0,
41.2,5.81667,0,0,0,
41.25,5.81755,0,0,0,
41.3,5.81858,0,0,0,
41.35,5.81964,0,0,0,
41.4,5.82036,0,0,0,
41.45,5.82116,0,0,0,
41.5,5.82175,0,0,0,
41.55,5.82214,0,0,0,
41.6,5.82269,0,0,0,
